content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_709f3a55742682be,client_73cda7b4e4f265ea,0.698614291197987,low,monitor,['model_decline_risk'],5.0,0.0,0.0,59,0
content_fc584121013b873f,client_73cda7b4e4f265ea,0.698614291197987,low,monitor,['model_decline_risk'],5.0,0.0,0.0,59,1
content_3afdbf6a57eeb985,client_73cda7b4e4f265ea,0.698614291197987,low,monitor,['model_decline_risk'],5.0,0.0,0.0,59,0
content_58eec996cd0c3b8d,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,1
content_15ae9e160a6f87ae,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,0
content_0f63cce2899f28bb,client_f623b01661d4bfe4,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,1
content_f5d21c17bab789cb,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,1
content_07d2b015b8977b48,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,0
content_f812e6cf887f3677,client_2094c6eb080311d5,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,0
content_0c97a950ac9a3d4d,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,0
content_fdb8323414168b7d,client_73cda7b4e4f265ea,0.6986139365406244,low,monitor,['model_decline_risk'],3.0,0.0,0.0,59,0
content_ad45030e9b7f718f,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_5667d71555992a32,client_f623b01661d4bfe4,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,1
content_46d31ca96905685e,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_153ff83c8961f412,client_f623b01661d4bfe4,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_8b23a0b0a89d3ad4,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_7df027dab319fd43,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,1
content_b27b2357ec8fc41b,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_fa211b5b6aef37b3,client_2094c6eb080311d5,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_90848f8ed9ac0a51,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_42c759400e0e413c,client_73cda7b4e4f265ea,0.6986137592118541,low,monitor,['model_decline_risk'],2.0,0.0,0.0,59,0
content_4617c85e70c87657,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_034957daf9d62ad5,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_f38a9fbbb968f979,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_c1621043a1b8ef9d,client_2094c6eb080311d5,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_3999948014f5ed9b,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_e242b00e2f8db731,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_4a7371e45270dc57,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
